date,license_plate,score,dscore,vehicle_type
date,license_plate,score,dscore,vehicle_type
01/23/20 17:03:20,72c06133,0.906,0.832,Car
01/23/20 17:03:23,72c06133,0.907,0.83,Car
01/23/20 17:03:27,72c06133,0.908,0.828,Truck
01/23/20 17:03:30,72c06133,0.908,0.822,Car
01/23/20 17:03:34,72c06133,0.907,0.816,Car
01/23/20 17:03:37,72c06133,0.908,0.812,Car
01/23/20 17:03:41,72c06133,0.909,0.809,Car
01/23/20 17:03:44,72c06133,0.911,0.815,Truck
01/23/20 17:03:48,72c06133,0.905,0.794,Car
01/23/20 17:03:52,72c06133,0.909,0.782,Car
01/23/20 17:03:55,72c06133,0.908,0.785,Car
01/23/20 17:03:58,72c06133,0.907,0.792,Truck
01/23/20 17:04:02,72c06133,0.907,0.773,Truck
01/23/20 17:04:05,72c06133,0.908,0.741,Car
01/23/20 17:04:09,72c06133,0.909,0.725,Car
01/23/20 17:04:13,72c06133,0.898,0.714,Truck
01/23/20 17:04:18,72c06133,0.912,0.71,Car
01/23/20 17:04:36,72c06133,0.9,0.791,Truck
01/23/20 17:04:40,72c06133,0.902,0.737,Truck
01/23/20 17:04:43,72c06133,0.904,0.805,Truck
01/23/20 17:04:43,784111,0.661,0.579,Truck
01/23/20 17:04:47,72c06133,0.902,0.802,Truck
01/23/20 17:04:51,72c06133,0.905,0.582,Truck
01/23/20 17:04:54,72c06133,0.902,0.76,Truck
01/23/20 17:04:57,72c06133,0.901,0.689,Car
01/23/20 17:04:57,129611,0.626,0.361,Car
01/23/20 17:05:01,72c06133,0.907,0.716,Truck
01/23/20 17:05:04,72c0613,0.906,0.747,Truck
01/23/20 17:05:08,72c061,0.902,0.598,Truck
01/23/20 17:05:12,72c06,0.864,0.573,Car
01/23/20 17:05:29,725113,0.651,0.52,Car
01/23/20 17:05:36,6133,0.899,0.738,Car
01/23/20 17:05:39,06133,0.873,0.709,Truck
01/23/20 17:05:43,2c06133,0.832,0.749,Truck
01/23/20 17:05:46,zc06133,0.863,0.737,Truck
01/23/20 17:05:50,72c06133,0.846,0.751,Truck
date,license_plate,score,dscore,vehicle_type
01/23/20 17:05:55,72c06133,0.902,0.866,Car
01/23/20 17:05:59,72c06133,0.902,0.867,Car
01/23/20 17:06:02,72c06133,0.903,0.861,Truck
01/23/20 17:06:06,72c06133,0.902,0.862,Car
01/23/20 17:06:09,72c06133,0.905,0.862,Truck
01/23/20 17:06:13,72c06133,0.905,0.861,Truck
01/23/20 17:06:18,72c06133,0.906,0.861,Car
01/23/20 17:06:21,72c06133,0.905,0.861,Car
01/23/20 17:06:26,72c06133,0.904,0.86,Truck
01/23/20 17:06:29,72c06133,0.904,0.864,Car
01/23/20 17:06:33,72c06133,0.903,0.861,Car
01/23/20 17:06:36,72c06133,0.904,0.86,Car
01/23/20 17:06:40,72c06133,0.903,0.859,Car
01/23/20 17:06:43,72c06133,0.904,0.861,Truck
01/23/20 17:06:47,72c06133,0.905,0.861,Truck
01/23/20 17:06:50,72c06133,0.905,0.859,Truck
01/23/20 17:06:54,72c06133,0.904,0.859,Car
01/23/20 17:06:58,72c06133,0.902,0.86,Truck
01/23/20 17:07:02,72c06133,0.901,0.861,Car
01/23/20 17:07:06,72c06133,0.904,0.861,Car
01/23/20 17:07:09,72c06133,0.904,0.862,Truck
01/23/20 17:07:13,72c06133,0.906,0.861,Car
01/23/20 17:07:17,72c06133,0.902,0.86,Car
01/23/20 17:07:21,72c06133,0.904,0.861,Car
01/23/20 17:07:24,72c06133,0.904,0.86,Truck
01/23/20 17:07:28,72c06133,0.906,0.857,Car
01/23/20 17:07:31,72c06133,0.902,0.858,Car
01/23/20 17:07:35,72c06133,0.902,0.857,Car
01/23/20 17:07:38,72c06133,0.906,0.859,Truck
01/23/20 17:07:42,72c06133,0.905,0.86,Car
01/23/20 17:07:46,72c06133,0.901,0.862,Car
01/23/20 17:07:49,72c06133,0.904,0.86,Truck
01/23/20 17:07:53,72c06133,0.905,0.861,Truck
01/23/20 17:07:57,72c06133,0.902,0.862,Truck
01/23/20 17:08:00,72c06133,0.901,0.86,Car
01/23/20 17:08:04,72c06133,0.903,0.86,Truck
01/23/20 17:08:07,72c06133,0.904,0.859,Truck
01/23/20 17:08:11,72c06133,0.903,0.857,Truck
